caminho,nome,tipo,url
Estimativas_de_Populacao/Estimativas_2015/serie_2001_2015_TCU.xls,serie_2001_2015_TCU.xls,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2015/serie_2001_2015_TCU.xls
Estimativas_de_Populacao/Estimativas_2016,Estimativas_2016,pasta,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2016
Estimativas_de_Populacao/Estimativas_2016/atualizacoes_20170614.txt,atualizacoes_20170614.txt,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2016/atualizacoes_20170614.txt
Estimativas_de_Populacao/Estimativas_2016/estimativa_dou_2016_20160913.ods,estimativa_dou_2016_20160913.ods,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2016/estimativa_dou_2016_20160913.ods
Estimativas_de_Populacao/Estimativas_2016/estimativa_dou_2016_20160913.pdf,estimativa_dou_2016_20160913.pdf,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2016/estimativa_dou_2016_20160913.pdf
Estimativas_de_Populacao/Estimativas_2016/estimativa_dou_2016_20160913.xlsx,estimativa_dou_2016_20160913.xlsx,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2016/estimativa_dou_2016_20160913.xlsx
Estimativas_de_Populacao/Estimativas_2016/estimativa_TCU_2016_20170614.ods,estimativa_TCU_2016_20170614.ods,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2016/estimativa_TCU_2016_20170614.ods
Estimativas_de_Populacao/Estimativas_2016/estimativa_TCU_2016_20170614.pdf,estimativa_TCU_2016_20170614.pdf,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2016/estimativa_TCU_2016_20170614.pdf
Estimativas_de_Populacao/Estimativas_2016/estimativa_TCU_2016_20170614.xls,estimativa_TCU_2016_20170614.xls,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2016/estimativa_TCU_2016_20170614.xls
Estimativas_de_Populacao/Estimativas_2016/serie_2001_2016_TCU.pdf,serie_2001_2016_TCU.pdf,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2016/serie_2001_2016_TCU.pdf
Estimativas_de_Populacao/Estimativas_2016/serie_2001_2016_TCU.xls,serie_2001_2016_TCU.xls,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2016/serie_2001_2016_TCU.xls
Estimativas_de_Populacao/Estimativas_2017,Estimativas_2017,pasta,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2017
Estimativas_de_Populacao/Estimativas_2017/estimativa_dou_2017.ods,estimativa_dou_2017.ods,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2017/estimativa_dou_2017.ods
